release_date,name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit
08/01/2021,61 Penn (2021 Remaster),146852,0.321,0.888,11,-5.297,0.151,0.000344,0,0.293,0.613,100.407,1
01/01/2021,Jazz Piano Soundtrack for 2021,136069,0.66,0.0157,9,-19.116,0.305,0.986,0.778,0.123,0.0611,76.841,0
08/01/2021,Through Being Crucial (2021 Remaster),123799,0.369,0.773,1,-5.416,0.0512,0.000171,0,0.33,0.417,104.969,1
02/01/2021,Jazz Piano Soundtrack for 2021,135047,0.709,0.0219,0,-19.797,0.233,0.993,0.877,0.0868,0.081,79.36,0
01/01/2021,Brilliant Jazz Piano Solo - Vibe for 2021,114985,0.677,0.0173,4,-20.005,0.188,0.988,0.941,0.119,0.0967,71.736,0
03/03/2021,Best I Can Do,141034,0.662,0.551,4,-9.751,0.122,0.801,0.926,0.131,0.274,66.519,0
08/04/2021,Finale II - Die Wolfsschlucht / Finale II - Wolf ́s Glen Scene,555445,0.251,0.144,7,-20.615,0.0553,0.859,0.00426,0.0785,0.0606,72.599,0
08/04/2021,Aria Kaspar / Aria Kaspar,196517,0.422,0.22,2,-17.335,0.0887,0.807,0.00178,0.0867,0.37,91.421,0
08/04/2021,Lied Kaspar / Song Kaspar,111920,0.601,0.249,2,-17.013,0.266,0.83,0.000707,0.137,0.367,72.452,0
08/03/2021,The Message - 2021 Rawmix,399416,0.73,0.767,4,-10.421,0.0563,0.106,0.966,0.111,0.0235,136.988,0
08/01/2021,On Leaving (2021 Remaster),199466,0.243,0.828,4,-5.836,0.138,0.000251,1.23E-06,0.0653,0.193,197.558,0
08/01/2021,"Small, Bent and Ugly (2021 Remaster)",200081,0.359,0.808,4,-5.805,0.083,0.000484,0,0.145,0.494,107.654,1
03/03/2021,Somewhere,143226,0.837,0.263,2,-12.108,0.0618,0.802,0.864,0.106,0.624,124.025,0
08/01/2021,Give 'Em The Howard (2021 Remaster),156423,0.293,0.806,7,-5.68,0.103,0.000413,1.45E-06,0.156,0.319,88.083,0
19/02/2021,Twenty Years,364120,0.309,0.626,8,-7.77,0.0427,0.0537,5.96E-05,0.0427,0.608,76.58,0
03/01/2021,New Year's Resolutions for 2021,40868,0.726,0.207,1,-13.793,0.944,0.592,0,0.145,0.563,117.188,0
09/04/2021,Ten Years Ago - Edit Cut 60,60000,0.717,0.286,4,-17.108,0.116,0.414,0.933,0.0922,0.652,154.782,0
08/04/2021,Arietta Ännchen / Arietta Ännchen,227214,0.37,0.0691,0,-21.675,0.0541,0.909,2.33E-05,0.0564,0.255,85.46,0
08/04/2021,Cavatina Agathe / Cavatina Agathe,303949,0.193,0.0595,8,-23.775,0.0524,0.976,0.00032,0.119,0.0386,90.294,0
08/04/2021,Scena Ed Aria Agathe / Scene and Aria Agathe,502426,0.295,0.0604,4,-21.785,0.0501,0.968,9.13E-05,0.11,0.0369,90.013,0
08/04/2021,Duetto Agathe & Ännchen / Duet Agatha & Ännchen,269909,0.328,0.0775,4,-22.165,0.058,0.934,0,0.0961,0.179,169.822,0
16/01/2021,Year of Friendship,219943,0.783,0.332,4,-17.407,0.0347,0.376,0.513,0.0777,0.597,120.015,0
01/01/2021,Friendly New Years Resolutions,114985,0.618,0.0196,9,-20.849,0.121,0.988,0.891,0.126,0.0656,96.352,0
20/01/2021,Beautiful Chinese Morning,173215,0.484,0.0754,4,-25.299,0.0309,0.953,0.974,0.119,0.406,77.982,0
16/01/2021,The Last Day of New Year,131147,0.625,0.714,7,-12.339,0.0513,0.174,0.905,0.104,0.818,160.008,0
09/04/2021,Homesick - 2021 Remaster,169193,0.392,0.718,7,-11.01,0.0351,0.00253,0,0.156,0.446,144.071,1
16/01/2021,Red Lantern,178035,0.627,0.5,11,-10.377,0.0316,0.000514,5.19E-05,0.0871,0.195,99.997,0
16/01/2021,Earth Sign,168667,0.627,0.279,7,-15.248,0.026,0.147,0.0616,0.118,0.726,89.998,0
16/01/2021,Gongs and Drums: Celebration,141125,0.663,0.398,7,-12.663,0.0335,0.263,0.208,0.219,0.347,119.938,0
16/01/2021,Fortune and Joy,139511,0.713,0.378,7,-12.905,0.0311,0.124,0.726,0.345,0.641,140.029,0
05/01/2021,Friendly Backdrops for 2021,113406,0.687,0.0193,2,-20.763,0.113,0.987,0.909,0.113,0.12,104.933,0
09/04/2021,Kids On the Street - 2021 Remaster,128770,0.556,0.75,0,-10.96,0.0309,0.00466,0,0.218,0.907,98.784,1
